"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","rawtemp","rawfeeltemp","rawhumidity","rawwindspeed","Group"
2,1/2/2011,"winter",2011,1,"no",0,"no","mist",0.363478,0.353739,0.696087,0.248539,131,670,801,9.083466,7.346774,69.6087,16.652113,1
3,1/3/2011,"winter",2011,1,"no",1,"yes","clear",0.196364,0.189405,0.437273,0.248309,120,1229,1349,1.229108,-3.49927,43.7273,16.636703,1
4,1/4/2011,"winter",2011,1,"no",2,"yes","clear",0.2,0.212122,0.590435,0.160296,108,1454,1562,1.4,-1.999948,59.0435,10.739832,1
5,1/5/2011,"winter",2011,1,"no",3,"yes","clear",0.226957,0.22927,0.436957,0.1869,82,1518,1600,2.666979,-0.868180000000001,43.6957,12.5223,1
7,1/7/2011,"winter",2011,1,"no",5,"yes","mist",0.196522,0.208839,0.498696,0.168726,148,1362,1510,1.236534,-2.216626,49.8696,11.304642,1
8,1/8/2011,"winter",2011,1,"no",6,"no","mist",0.165,0.162254,0.535833,0.266804,68,891,959,-0.244999999999999,-5.291236,53.5833,17.875868,1
11,1/11/2011,"winter",2011,1,"no",2,"yes","mist",0.169091,0.191464,0.686364,0.122132,43,1220,1263,-0.0527230000000003,-3.363376,68.6364,8.182844,1
12,1/12/2011,"winter",2011,1,"no",3,"yes","clear",0.172727,0.160473,0.599545,0.304627,25,1137,1162,0.118169,-5.408782,59.9545,20.410009,1
14,1/14/2011,"winter",2011,1,"no",5,"yes","clear",0.16087,0.188413,0.537826,0.126548,54,1367,1421,-0.439109999999999,-3.564742,53.7826,8.478716,1
15,1/15/2011,"winter",2011,1,"no",6,"no","mist",0.233333,0.248112,0.49875,0.157963,222,1026,1248,2.966651,0.375392000000002,49.875,10.583521,1
17,1/17/2011,"winter",2011,1,"yes",1,"no","mist",0.175833,0.176771,0.5375,0.194017,117,883,1000,0.264151,-4.333114,53.75,12.999139,1
18,1/18/2011,"winter",2011,1,"no",2,"yes","mist",0.216667,0.232333,0.861667,0.146775,9,674,683,2.183349,-0.666022,86.1667,9.833925,1
20,1/20/2011,"winter",2011,1,"no",4,"yes","mist",0.261667,0.25505,0.538333,0.195904,83,1844,1927,4.298349,0.833300000000001,53.8333,13.125568,1
21,1/21/2011,"winter",2011,1,"no",5,"yes","clear",0.1775,0.157833,0.457083,0.353242,75,1468,1543,0.342499999999999,-5.583022,45.7083,23.667214,1
23,1/23/2011,"winter",2011,1,"no",0,"no","clear",0.0965217,0.0988391,0.436522,0.2466,150,836,986,-3.4634801,-9.4766194,43.6522,16.5222,1
27,1/27/2011,"winter",2011,1,"no",4,"yes","clear",0.195,0.2197,0.6875,0.113837,15,416,431,1.165,-1.4998,68.75,7.627079,1
30,1/30/2011,"winter",2011,1,"no",0,"no","clear",0.216522,0.250322,0.722174,0.0739826,140,956,1096,2.176534,0.521252,72.2174,4.9568342,1
31,1/31/2011,"winter",2011,1,"no",1,"yes","mist",0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.499150999999999,-3.7075,60.375,12.541864,1
32,2/1/2011,"winter",2011,2,"no",2,"yes","mist",0.192174,0.23453,0.829565,0.053213,47,1313,1360,1.032178,-0.52102,82.9565,3.565271,1
34,2/3/2011,"winter",2011,2,"no",4,"yes","clear",0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.786979000000001,-4.260052,43.7826,18.609384,1
36,2/5/2011,"winter",2011,2,"no",6,"no","mist",0.233333,0.243058,0.929167,0.161079,100,905,1005,2.966651,0.0418279999999989,92.9167,10.792293,1
40,2/9/2011,"winter",2011,2,"no",3,"yes","mist",0.134783,0.144283,0.494783,0.188839,53,1552,1605,-1.665199,-6.477322,49.4783,12.652213,1
41,2/10/2011,"winter",2011,2,"no",4,"yes","clear",0.144348,0.149548,0.437391,0.221935,47,1491,1538,-1.215644,-6.129832,43.7391,14.869645,1
45,2/14/2011,"winter",2011,2,"no",1,"yes","clear",0.415,0.39835,0.375833,0.417908,208,1705,1913,11.505,10.2911,37.5833,27.999836,1
46,2/15/2011,"winter",2011,2,"no",2,"yes","clear",0.266087,0.254274,0.314348,0.291374,140,1675,1815,4.506089,0.782084000000001,31.4348,19.522058,1
47,2/16/2011,"winter",2011,2,"no",3,"yes","clear",0.318261,0.3162,0.423478,0.251791,218,1897,2115,6.958267,4.8692,42.3478,16.869997,1
50,2/19/2011,"winter",2011,2,"no",6,"no","clear",0.399167,0.391404,0.187917,0.507463,532,1103,1635,10.760849,9.832664,18.7917,34.000021,1
54,2/23/2011,"winter",2011,2,"no",3,"yes","clear",0.221739,0.245717,0.423043,0.094113,139,1778,1917,2.421733,0.217321999999999,42.3043,6.305571,1
56,2/25/2011,"winter",2011,2,"no",5,"yes","mist",0.364348,0.350461,0.712174,0.346539,120,1341,1461,9.124356,7.130426,71.2174,23.218113,1
58,2/27/2011,"winter",2011,2,"no",0,"no","clear",0.343478,0.351109,0.68,0.125248,694,1708,2402,8.143466,7.173194,68,8.391616,1
63,3/4/2011,"winter",2011,3,"no",5,"yes","mist",0.261667,0.255679,0.610417,0.203346,214,1730,1944,4.298349,0.874814000000001,61.0417,13.624182,1
64,3/5/2011,"winter",2011,3,"no",6,"no","mist",0.384167,0.378779,0.789167,0.251871,640,1437,2077,10.055849,8.999414,78.9167,16.875357,1
65,3/6/2011,"winter",2011,3,"no",0,"no","mist",0.376522,0.366252,0.948261,0.343287,114,491,605,9.696534,8.172632,94.8261,23.000229,1
67,3/8/2011,"winter",2011,3,"no",2,"yes","clear",0.2925,0.3024,0.420833,0.12065,316,1817,2133,5.7475,3.9584,42.0833,8.08355,1
68,3/9/2011,"winter",2011,3,"no",3,"yes","mist",0.295833,0.286608,0.775417,0.22015,191,1700,1891,5.904151,2.916128,77.5417,14.75005,1
71,3/12/2011,"winter",2011,3,"no",6,"no","clear",0.329167,0.32575,0.594583,0.220775,724,1408,2132,7.470849,5.4995,59.4583,14.791925,1
72,3/13/2011,"winter",2011,3,"no",0,"no","clear",0.384348,0.380091,0.527391,0.270604,982,1435,2417,10.064356,9.086006,52.7391,18.130468,1
73,3/14/2011,"winter",2011,3,"no",1,"yes","clear",0.325217,0.332,0.496957,0.136926,359,1687,2046,7.285199,5.912,49.6957,9.174042,1
75,3/16/2011,"winter",2011,3,"no",3,"yes","mist",0.365217,0.36693,0.776522,0.203117,321,1871,2192,9.165199,8.21738,77.6522,13.608839,1
78,3/19/2011,"winter",2011,3,"no",6,"no","clear",0.4725,0.466525,0.379167,0.368167,1424,1693,3117,14.2075,14.79065,37.9167,24.667189,1
79,3/20/2011,"winter",2011,3,"no",0,"no","clear",0.3325,0.32575,0.47375,0.207721,1047,1424,2471,7.6275,5.4995,47.375,13.917307,1
88,3/29/2011,"spring",2011,3,"no",2,"yes","clear",0.3025,0.292908,0.314167,0.226996,317,2108,2425,6.2175,3.331928,31.4167,15.208732,1
89,3/30/2011,"spring",2011,3,"no",3,"yes","mist",0.3,0.29735,0.646667,0.172888,168,1368,1536,6.1,3.6251,64.6667,11.583496,1
92,4/2/2011,"spring",2011,4,"no",6,"no","mist",0.315,0.315637,0.65375,0.197146,898,1354,2252,6.805,4.832042,65.375,13.208782,1
93,4/3/2011,"spring",2011,4,"no",0,"no","clear",0.378333,0.378767,0.48,0.182213,1651,1598,3249,9.781651,8.998622,48,12.208271,1
96,4/6/2011,"spring",2011,4,"no",3,"yes","clear",0.390833,0.387608,0.470833,0.263063,413,2395,2808,10.369151,9.582128,47.0833,17.625221,1
97,4/7/2011,"spring",2011,4,"no",4,"yes","clear",0.4375,0.433696,0.602917,0.162312,571,2570,3141,12.5625,12.623936,60.2917,10.874904,1
99,4/9/2011,"spring",2011,4,"no",6,"no","mist",0.3425,0.341529,0.8775,0.133083,879,1576,2455,8.0975,6.540914,87.75,8.916561,1
100,4/10/2011,"spring",2011,4,"no",0,"no","mist",0.426667,0.426737,0.8575,0.146767,1188,1707,2895,12.053349,12.164642,85.75,9.833389,1
102,4/12/2011,"spring",2011,4,"no",2,"yes","mist",0.5025,0.493054,0.739167,0.274879,257,1777,2034,15.6175,16.541564,73.9167,18.416893,1
104,4/14/2011,"spring",2011,4,"no",4,"yes","clear",0.4675,0.462742,0.540417,0.1107,529,2738,3267,13.9725,14.540972,54.0417,7.4169,1
105,4/15/2011,"spring",2011,4,"yes",5,"no","clear",0.446667,0.441913,0.67125,0.226375,642,2484,3126,12.993349,13.166258,67.125,15.167125,1
106,4/16/2011,"spring",2011,4,"no",6,"no","light precipitation",0.430833,0.425492,0.888333,0.340808,121,674,795,12.249151,12.082472,88.8333,22.834136,1
107,4/17/2011,"spring",2011,4,"no",0,"no","clear",0.456667,0.445696,0.479583,0.303496,1558,2186,3744,13.463349,13.415936,47.9583,20.334232,1
108,4/18/2011,"spring",2011,4,"no",1,"yes","clear",0.5125,0.503146,0.5425,0.163567,669,2760,3429,16.0875,17.207636,54.25,10.958989,1
110,4/20/2011,"spring",2011,4,"no",3,"yes","clear",0.595,0.564392,0.614167,0.241925,613,3331,3944,19.965,21.249872,61.4167,16.208975,1
111,4/21/2011,"spring",2011,4,"no",4,"yes","clear",0.459167,0.453892,0.407083,0.325258,745,3444,4189,13.580849,13.956872,40.7083,21.792286,1
112,4/22/2011,"spring",2011,4,"no",5,"yes","mist",0.336667,0.321954,0.729583,0.219521,177,1506,1683,7.823349,5.248964,72.9583,14.707907,1
114,4/24/2011,"spring",2011,4,"no",0,"no","mist",0.581667,0.551763,0.810833,0.192175,1710,2481,4191,19.338349,20.416358,81.0833,12.875725,1
